k,P[u<k],G(k)
0.69,0.7549029063256905,0.14531466239232393
0.70,0.758036347776927,0.14287937681061005
0.71,0.7611479319100133,0.14047531648952558
0.72,0.7642375022207488,0.13810226206879223
0.73,0.7673049076991024,0.13575999265055486
0.74,0.7703500028352095,0.13344828585435506
0.75,0.7733726476231317,0.13116691787215323
0.76,0.7763727075624005,0.1289156635233773
0.77,0.7793500536573502,0.12669429630997558
0.78,0.782304562414267,0.12450258847145337
0.79,0.7852361158363629,0.12234031103986809
0.80,0.7881446014166033,0.12020723389476548
0.81,0.7910299121283983,0.1181031258180312
0.82,0.793891946414187,0.11602775454864048
0.83,0.7967306081719316,0.1139808868372835
0.84,0.7995458067395502,0.11196228850084283
0.85,0.8023374568773076,0.10997172447670814
0.86,0.8051054787481917,0.10800895887690143
0.87,0.8078497978963038,0.10607375504200056
0.88,0.8105703452232879,0.10416587559483137
0.89,0.8132670569628273,0.10228508249391882
0.90,0.8159398746532404,0.1004311370866714
0.91,0.8185887451082028,0.09860380016228265
0.92,0.8212136203856283,0.09680283200433118
0.93,0.8238144577547419,0.09502799244305896
0.94,0.8263912196613754,0.09327904090731348
0.95,0.8289438736915182,0.09155573647613127
0.96,0.8314723925331622,0.08985783792995283
0.97,0.8339767539364703,0.08818510380144223
0.98,0.8364569406723076,0.08653729242590433
0.99,0.8389129404891691,0.08491416199127691
1.00,0.8413447460685429,0.08331547058768629
1.01,0.8437523549787453,0.08174097625654625
1.02,0.846135769627265,0.08019043703919007
1.03,0.8484949972116563,0.07866361102501776
1.04,0.8508300496690187,0.07716025639914559
1.05,0.853140943624104,0.07568013148954231
1.06,0.8554277003360904,0.07422299481364186
1.07,0.8576903456440608,0.07278860512441457
1.08,0.859928909911231,0.07137672145589069
1.09,0.8621434279679645,0.06998710316811468
1.10,0.8643339390536173,0.06861950999152974
1.11,0.8665004867572528,0.06727370207077019
1.12,0.8686431189572693,0.06594944000785946
1.13,0.8707618877599821,0.0646464849047951
1.14,0.8728568494372017,0.06336459840551836
1.15,0.8749280643628496,0.062103542737252077
1.16,0.8769755969486566,0.060863080751201004
1.17,0.8789995155789818,0.05964297596260612
1.18,0.8809998925447993,0.05844299259013913
1.19,0.8829768039768912,0.05726289559463718
1.20,0.8849303297782918,0.05610245071716305
1.21,0.8868605535560226,0.05496142451638669
1.22,0.8887675625521653,0.05383958440528194
1.23,0.890651447574308,0.052736698687128575
1.24,0.8925123029254132,0.05165253659081756
1.25,0.8943502263331446,0.050586868305452726
1.26,0.8961653188786995,0.049539465014241835
1.27,0.8979576849251807,0.04851009892767322
1.28,0.8997274320455579,0.047498543315976444
1.29,0.9014746709502521,0.04650457254085824
1.30,0.9031995154143896,0.045527962086513885
1.31,0.9049020822047609,0.04456848858990928
1.32,0.9065824910065282,0.04362592987033097
1.33,0.9082408643497193,0.04270006495820344
1.34,0.9098773275355475,0.04179067412316785
1.35,0.9114920085625979,0.040897538901426916
1.36,0.913085038052915,0.04002044212234733
1.37,0.914656549178033,0.039159167934325986
1.38,0.9162066775849856,0.038313501829913915
1.39,0.917735561322331,0.0374832306702019
1.40,0.9192433407662288,0.036668142708465384
1.41,0.9207301585466077,0.035868027613072506
1.42,0.9221961594734536,0.03508267648965169
1.43,0.9236414904632608,0.03431188190252549
1.44,0.925066300465673,0.033555437895408005
1.45,0.9264707403903517,0.03281314001137019
1.46,0.9278549630341062,0.03208478531207683
1.47,0.9292191230083144,0.03137017239629357
1.48,0.9305633766666682,0.030669101417671416
1.49,0.9318878820332746,0.02998137410181005
1.50,0.9331927987311419,0.029306793762604616
1.51,0.9344782879110834,0.028645165317877946
1.52,0.9357445121810641,0.02799629530430575
1.53,0.9369916355360216,0.027359991891636112
1.54,0.9382198232881881,0.026736064896211442
1.55,0.939429241997941,0.026124325793794187
1.56,0.940620059405207,0.02552458773170528
1.57,0.941792444361447,0.024936665540278874
1.58,0.9429465667622459,0.02436037574364082
1.59,0.9440825974805306,0.02379553656981423
1.60,0.945200708300442,0.023241967960162868
1.61,0.9463010718518803,0.022699491578174552
1.62,0.9473838615457479,0.022167930817595452
1.63,0.9484492515099107,0.021647110809918005
1.64,0.9494974165258963,0.021136858431234126
1.65,0.9505285319663519,0.02063700230845876
1.66,0.9515427737332772,0.020147372824930745
1.67,0.9525403181970526,0.01966780212540166
1.68,0.9535213421362799,0.019198124120417825
1.69,0.9544860226784502,0.018738174490104897
1.70,0.955434537241457,0.01828779068736379
1.71,0.9563670634759681,0.017846811940486165
1.72,0.957283779208671,0.017415079255197072
1.73,0.958184862386405,0.016992435416135723
1.74,0.9590704910211927,0.01657872498778086
1.75,0.9599408431361829,0.016173794314831583
1.76,0.9607960967125173,0.015777491522052725
1.77,0.9616364296371287,0.01538966651359236
1.78,0.9624620196514833,0.015010170971782949
1.79,0.9632730443012737,0.01463885835543409
1.80,0.9640696808870742,0.014275583897627814
1.81,0.9648521064159612,0.013920204603023817
1.82,0.9656204975541101,0.013572579244687577
1.83,0.9663750305803717,0.013232568360447741
1.84,0.9671158813408361,0.012900034248795433
1.85,0.9678432252043863,0.012574840964332631
1.86,0.9685572370192473,0.01225685431278338
1.87,0.9692580910705341,0.011945941845572891
1.88,0.9699459610388002,0.01164197285398888
1.89,0.9706210199595906,0.011344818362933433
1.90,0.9712834401839981,0.011054351124273158
1.91,0.9719333933402275,0.010770445609803954
1.92,0.9725710502961632,0.010492978003831997
1.93,0.973196581122945,0.010221826195389146
1.94,0.9738101550595473,0.00995686977008655
1.95,0.9744119404783614,0.009697990001620853
1.96,0.9750021048517795,0.00944506984293933
1.97,0.9755808147197774,0.009197993917078685
1.98,0.9761482356584915,0.008956648507681304
1.99,0.9767045322497881,0.008720921549204154
2.00,0.9772498680518208,0.008490702616829646
2.01,0.9777844055705686,0.008265882916083128
2.02,0.9783083062323532,0.008046355272174108
2.03,0.9788217303573278,0.007832014119066547
2.04,0.9793248371339299,0.007622755488287822
2.05,0.9798177845942956,0.007418476997488717
2.06,0.9803007295906231,0.007219077838760642
2.07,0.9807738277724828,0.007024458766722488
2.08,0.9812372335650622,0.006834522086384284
2.09,0.981691100148341,0.006649171640799888
2.10,0.9821355794371834,0.0064683127985124544
2.11,0.9825708220623429,0.006291852440809251
2.12,0.9829969773523672,0.00611969894878886
2.13,0.983414193316395,0.005951762190251807
2.14,0.9838226166278339,0.005787953506424852
2.15,0.9842223926089095,0.0056281856985256895
